CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
AUS,2015,17,m,16.7070071596677,338.292992840332,281,398,476,1510,0.000375797548688493,0.00223724247888837,0.0147610596155729,0.0416647308003446,0.147516504049567,0.00663785735389158,1,0,0
AUS,2015,17,f,10.8144989339019,197.185501066098,149,367,762,1486,0.000256670773268177,0.00129707035883703,0.00761322258760603,0.0326994018471684,0.136217577120948,0.00644556444192499,1,0,0
AUS,2015,17,b,27.5215060935696,535.47849390643,430,765,1238,2996,0.000317832582206753,0.00176589459977446,0.0111376496163721,0.0368215260109725,0.14035088790261,0.0065410679132442,1,0,0
AUS,2015,18,m,16.5537318646248,334.446268135375,299,413,452,1515,0.000372349864755571,0.00221180282717622,0.0157066079183498,0.0432350095993525,0.140078697122698,0.0066598370140038,1,0,0
AUS,2015,18,f,11.7157071783937,195.284292821606,156,397,766,1526,0.000278060004373859,0.0012845643639917,0.00797089076286269,0.0353723774750023,0.13693263001922,0.0066190655036188,1,0,0
AUS,2015,18,b,28.2694390430185,529.730560956981,455,810,1218,3041,0.000326470098621467,0.00174693913495038,0.0117851873847658,0.038987498129265,0.138083506837947,0.00663931492796249,1,0,0
AUS,2015,19,m,13.3349506687256,327.665049331274,297,433,528,1599,0.00029994850216421,0.0021669564038442,0.015601546995819,0.0453287146646965,0.163631752391116,0.00702909530388916,1,0,0
AUS,2015,19,f,9.91329068941009,189.08670931059,187,365,732,1483,0.000235281542162496,0.00124379715836505,0.00955484982471361,0.0325212034719794,0.130854680383902,0.00643255186229795,1,0,0
AUS,2015,19,b,23.2482413581357,516.751758641864,484,798,1260,3082,0.000268482711574733,0.00170413779525024,0.0125363311961026,0.038409905564387,0.142845007073738,0.00672882887470581,1,0,0
AUS,2015,20,m,13.4882259637684,334.511774036232,301,437,506,1592,0.000303396186097132,0.00221223603917621,0.0158116688408806,0.0457474556777653,0.156813762708153,0.00699832377973205,1,0,0
AUS,2015,20,f,13.7434257285004,210.2565742715,159,350,749,1482,0.000326185774361642,0.00138305082657554,0.00812417712368698,0.0311847156580625,0.133893655201561,0.00642821433575561,1,0,0
AUS,2015,20,b,27.2316516922688,544.768348307732,460,787,1255,3074,0.000314485193712961,0.00179653057097897,0.0119146949384446,0.0378804457132488,0.142278161807573,0.0067113627387559,1,0,0
AUS,2015,21,m,14.1013271439397,305.89867285606,242,412,529,1503,0.00031718692182882,0.00202300821960023,0.0127123716262229,0.0431303243460853,0.163941661013069,0.00660708582973447,1,0,0
AUS,2015,21,f,12.1663113006397,208.83368869936,178,375,712,1486,0.0002887546199267,0.00137369119977915,0.00909499074224077,0.0334121953479241,0.127279415892539,0.00644556444192499,1,0,0
AUS,2015,21,b,26.2676384445794,514.73236155542,420,787,1241,2989,0.000303352270291077,0.00169747825158914,0.0108786345090146,0.0378804457132488,0.140690995062309,0.00652578504428802,1,0,0
AUS,2015,22,m,16.2471812745392,340.752818725461,291,443,482,1573,0.000365454496889727,0.00225351011397792,0.0152863642282267,0.0463755671973684,0.149375955781284,0.0069148010713056,1,0,0
AUS,2015,22,f,10.8144989339019,178.185501066098,169,371,731,1460,0.000256670773268177,0.00117208988773413,0.00863513165976792,0.0330557985975462,0.130675917159334,0.00633278875182401,1,0,0
AUS,2015,22,b,27.0616802084411,518.938319791559,460,814,1213,3033,0.00031252227513493,0.00171134861056825,0.0119146949384446,0.0391800289842243,0.137516661571782,0.00662184879201257,1,0,0
AUS,2015,23,m,13.794776553854,363.205223446146,284,454,498,1613,0.000310291553962976,0.00240199522793953,0.014918650999369,0.0475271049833076,0.15433449373253,0.00709063835220339,1,0,0
AUS,2015,23,f,12.8422174840085,197.157782515991,211,320,756,1497,0.000304796543255961,0.0012968880284449,0.0107811407113079,0.0285117400302286,0.135144997773538,0.00649327723389079,1,0,0
AUS,2015,23,b,26.6369940378625,560.363005962137,495,774,1254,3110,0.000307617779655519,0.00184795844726275,0.0128212478141958,0.037254720434631,0.14216479275434,0.00678996035053053,1,0,0
AUS,2015,24,m,15.3275295042822,347.672470495718,296,438,543,1640,0.000344768393292195,0.00229927203990359,0.0155490165345537,0.0458521409310325,0.168280381720409,0.0072093285168094,1,0,0
AUS,2015,24,f,10.363894811656,179.636105188344,206,364,739,1499,0.000245976157715337,0.00118163184492266,0.0105256634432674,0.032432104284385,0.13210602295588,0.00650195228697548,1,0,0
AUS,2015,24,b,25.6914243159382,527.308575684062,502,802,1282,3139,0.00029669785160529,0.00173895194076265,0.013002558389346,0.0386024364193463,0.145339126244867,0.00685327509334898,1,0,0
AUS,2015,25,m,17.6266589299246,337.373341070075,292,457,494,1598,0.000396483652286024,0.00223116052020241,0.0153388946894921,0.0478411607431092,0.153094859244719,0.00702469937186672,1,0,0
AUS,2015,25,f,14.6446339729922,211.355366027008,174,331,761,1492,0.000347575005467324,0.00139027859032541,0.00889060892780839,0.0294918310937677,0.136038813896379,0.00647158960117906,1,0,0
AUS,2015,25,b,32.2712929029168,548.728707097083,466,788,1255,3090,0.000372685576131352,0.0018095909950275,0.0120701040028591,0.0379285784269887,0.142278161807573,0.00674629501065573,1,0,0
AUS,2015,26,m,14.4078777340253,309.592122265975,299,468,516,1607,0.000324082289694663,0.00204743421153139,0.0157066079183498,0.0489926985290484,0.159912848927682,0.00706426276006872,1,0,0
AUS,2015,26,f,11.9410092395167,189.058990760483,212,376,759,1548,0.000283407312150279,0.00124361482797291,0.010832236164916,0.0335012945355185,0.135681287447243,0.00671449108755039,1,0,0
AUS,2015,26,b,26.348886973542,498.651113026458,511,844,1275,3155,0.000304290570312627,0.00164444570171444,0.0132356719859678,0.0406240103964193,0.144545542872235,0.00688820736524881,1,0,0
AUS,2015,27,m,14.8677036191538,339.132296380846,296,437,537,1624,0.000334425341493429,0.002242793068387,0.0155490165345537,0.0457474556777653,0.166420929988692,0.00713899360445028,1,0,0
AUS,2015,27,f,11.9410092395167,208.058990760483,200,368,808,1596,0.000283407312150279,0.00136859529907582,0.0102190907216188,0.0327885010347628,0.144440685451083,0.00692269236158296,1,0,0
